"","num","A_Year_Built","A_Construction_Quality","A_Building_Condition","A_HVAC","A_Building_Type","A_Gross_Building_Area","A_Net_Leaseable_Area"
"162",50468380,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"163",50468390,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"164",50468400,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"165",50468410,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"166",50468420,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"167",50468430,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"168",50468440,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"169",50468450,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"170",50468460,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"171",50468470,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"172",50468480,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"173",50468490,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"174",50468500,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"175",50468510,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"176",50468520,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"177",50468530,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"178",50468540,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"179",50468550,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"180",50468560,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"181",50468570,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"182",50468580,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"183",50468590,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
